roc-time-tzdb-v1	2025b	iana-2025b-wheel-2025.2-posix-1800-2200-v1	-5364662400	7258118400
Africa/Johannesburg	d19aebe2435c4e84bf7ae65533d23a9d440f98162e5b4d69c73f783e02299ec8	6720	5400	10800	-2458173120,5400;-2109288600,7200;-860976000,10800;-845254800,7200;-829526400,10800;-813805200,7200
Africa/Juba	553a683003fe8c9e9c2ac0de355afb9772ca1a8283531194d9bd60aaf0cfcf7e	7588	7200	10800	-1230775588,7200;10360800,10800;24786000,7200;41810400,10800;56322000,7200;73432800,10800;87944400,7200;104882400,10800;119480400,7200;136332000,10800;151016400,7200;167781600,10800;182552400,7200;199231200,10800;214174800,7200;230680800,10800;245710800,7200;262735200,10800;277246800,7200;294184800,10800;308782800,7200;325634400,10800;340405200,7200;357084000,10800;371941200,7200;388533600,10800;403477200,7200;419983200,10800;435013200,7200;452037600,10800;466635600,7200;483487200,10800;498171600,7200;947930400,10800;1612126800,7200
Africa/Khartoum	351c0ec08838491e97b83d75937871073efbba8069cde8d7abbbf1b6ad97cacf	7808	7200	10800	-1230775808,7200;10360800,10800;24786000,7200;41810400,10800;56322000,7200;73432800,10800;87944400,7200;104882400,10800;119480400,7200;136332000,10800;151016400,7200;167781600,10800;182552400,7200;199231200,10800;214174800,7200;230680800,10800;245710800,7200;262735200,10800;277246800,7200;294184800,10800;308782800,7200;325634400,10800;340405200,7200;357084000,10800;371941200,7200;388533600,10800;403477200,7200;419983200,10800;435013200,7200;452037600,10800;466635600,7200;483487200,10800;498171600,7200;947930400,10800;1509483600,7200
Africa/Monrovia	58cf8955faf9d36560cb5f057ba880276c8c80e59bc30ba621087fca9e7778a3	-2588	-2670	0	-2776979812,-2588;-1604359012,-2670;63593070,0
Africa/Ndjamena	4e58f865450d271121bc0a28ed324aa96bf527bb4461a7f514431ecfe2bdc448	3612	3600	7200	-1830387612,3600;308703600,7200;321314400,3600
Africa/Sao_Tome	3df8aeb5a930e41e71af5392835b85bd3d06c02ea354eaaac67c7af46109bb9d	1616	-2205	3600	-2713912016,-2205;-1830384000,0;1514768400,3600;1546304400,0
Africa/Tripoli	cf33012d9661e15438fc045ee64e0bfebb2ea8a3fb79d2af56df05ea4be3e453	3164	3164	7200	-1577926364,3600;-574902000,7200;-568087200,3600;-512175600,7200;-504928800,3600;-449888400,7200;-441856800,3600;-347158800,7200;378684000,3600;386463600,7200;402271200,3600;417999600,7200;433807200,3600;449622000,7200;465429600,3600;481590000,7200;496965600,3600;512953200,7200;528674400,3600;544230000,7200;560037600,3600;575852400,7200;591660000,3600;607388400,7200;623196000,3600;641775600,7200;844034400,3600;860108400,7200;875916000,7200;1352505600,3600;1364515200,7200;1382659200,7200
Africa/Tunis	ba8004111e3c449a8d786a1806e93921e62a8dcf2c1ef58bbcab2cb9509dd7c8	2444	561	7200	-2797202444,561;-1855958961,3600;-969242400,7200;-950493600,3600;-941940000,7200;-891136800,3600;-877827600,7200;-857257200,3600;-844556400,7200;-842918400,3600;-842223600,7200;-828230400,3600;-812502000,7200;-796269600,3600;-781052400,7200;-766634400,3600;231202800,7200;243903600,3600;262825200,7200;276044400,3600;581122800,7200;591145200,3600;606870000,7200;622594800,3600;641516400,7200;654649200,3600;1114902000,7200;1128038400,3600;1143334800,7200;1162083600,3600;1174784400,7200;1193533200,3600;1206838800,7200;1224982800,3600
Africa/Windhoek	8358cb464a3fda9786b144e0d3fc19c9c382e20c53007c1f57648ef48dca7423	4104	3600	10800	-2458170504,5400;-2109288600,7200;-860976000,10800;-845254800,7200;637970400,7200;764200800,3600;778640400,7200;796780800,3600;810090000,7200;828835200,3600;841539600,7200;860284800,3600;873594000,7200;891734400,3600;905043600,7200;923184000,3600;936493200,7200;954633600,3600;967942800,7200;986083200,3600;999392400,7200;1018137600,3600;1030842000,7200;1049587200,3600;1062896400,7200;1081036800,3600;1094346000,7200;1112486400,3600;1125795600,7200;1143936000,3600;1157245200,7200;1175385600,3600;1188694800,7200;1207440000,3600;1220749200,7200;1238889600,3600;1252198800,7200;1270339200,3600;1283648400,7200;1301788800,3600;1315098000,7200;1333238400,3600;1346547600,7200;1365292800,3600;1377997200,7200;1396742400,3600;1410051600,7200;1428192000,3600;1441501200,7200;1459641600,3600;1472950800,7200;1491091200,3600;1504400400,7200
America/Adak	abfb1980e20d5f84ec5fd881c7580d77a5c6c019f30a383aaa97404212b489e0	44002	-42398	44002	-3225223727,-42398;-2188944802,-39600;-880196400,-36000;-769395600,-36000;-765374400,-39600;-86878800,-39600;-21466800,-36000;-5745600,-39600;9982800,-36000;25704000,-39600;41432400,-36000;57758400,-39600;73486800,-36000;89208000,-39600;104936400,-36000;120657600,-39600;126709200,-36000;152107200,-39600;162392400,-36000;183556800,-39600;199285200,-36000;215611200,-39600;230734800,-36000;247060800,-39600;262789200,-36000;278510400,-39600;294238800,-36000;309960000,-39600;325688400,-36000;341409600,-39600;357138000,-36000;372859200,-39600;388587600,-36000;404913600,-39600;420037200,-36000;436363200,-36000;439034400,-36000;452088000,-32400;467809200,-36000;483537600,-32400;499258800,-36000;514987200,-32400;530708400,-36000;544622400,-32400;562158000,-36000;576072000,-32400;594212400,-36000;607521600,-32400;625662000,-36000;638971200,-32400;657111600,-36000;671025600,-32400;688561200,-36000;702475200,-32400;720010800,-36000;733924800,-32400;752065200,-36000;765374400,-32400;783514800,-36000;796824000,-32400;814964400,-36000;828878400,-32400;846414000,-36000;860328000,-32400;877863600,-36000;891777600,-32400;909313200,-36000;923227200,-32400;941367600,-36000;954676800,-32400;972817200,-36000;986126400,-32400;1004266800,-36000;1018180800,-32400;1035716400,-36000;1049630400,-32400;1067166000,-36000;1081080000,-32400;1099220400,-36000;1112529600,-32400;1130670000,-36000;1143979200,-32400;1162119600,-36000;1173614400,-32400;1194174000,-36000;1205064000,-32400;1225623600,-36000;1236513600,-32400;1257073200,-36000;1268568000,-32400;1289127600,-36000;1300017600,-32400;1320577200,-36000;1331467200,-32400;1352026800,-36000;1362916800,-32400;1383476400,-36000;1394366400,-32400;1414926000,-36000;1425816000,-32400;1446375600,-36000;1457870400,-32400;1478430000,-36000;1489320000,-32400;1509879600,-36000;1520769600,-32400;1541329200,-36000;1552219200,-32400;1572778800,-36000;1583668800,-32400;1604228400,-36000;1615723200,-32400;1636282800,-36000;1647172800,-32400;1667732400,-36000;1678622400,-32400;1699182000,-36000;1710072000,-32400;1730631600,-36000;1741521600,-32400;1762081200,-36000;1772971200,-32400;1793530800,-36000;1805025600,-32400;1825585200,-36000;1836475200,-32400;1857034800,-36000;1867924800,-32400;1888484400,-36000;1899374400,-32400;1919934000,-36000;1930824000,-32400;1951383600,-36000;1962878400,-32400;1983438000,-36000;1994328000,-32400;2014887600,-36000;2025777600,-32400;2046337200,-36000;2057227200,-32400;2077786800,-36000;2088676800,-32400;2109236400,-36000;2120126400,-32400;2140686000,-36000;2152180800,-32400;2172740400,-36000;2183630400,-32400;2204190000,-36000;2215080000,-32400;2235639600,-36000;2246529600,-32400;2267089200,-36000;2277979200,-32400;2298538800,-36000;2309428800,-32400;2329988400,-36000;2341483200,-32400;2362042800,-36000;2372932800,-32400;2393492400,-36000;2404382400,-32400;2424942000,-36000;2435832000,-32400;2456391600,-36000;2467281600,-32400;2487841200,-36000;2499336000,-32400;2519895600,-36000;2530785600,-32400;2551345200,-36000;2562235200,-32400;2582794800,-36000;2593684800,-32400;2614244400,-36000;2625134400,-32400;2645694000,-36000;2656584000,-32400;2677143600,-36000;2688638400,-32400;2709198000,-36000;2720088000,-32400;2740647600,-36000;2751537600,-32400;2772097200,-36000;2782987200,-32400;2803546800,-36000;2814436800,-32400;2834996400,-36000;2846491200,-32400;2867050800,-36000;2877940800,-32400;2898500400,-36000;2909390400,-32400;2929950000,-36000;2940840000,-32400;2961399600,-36000;2972289600,-32400;2992849200,-36000;3003739200,-32400;3024298800,-36000;3035793600,-32400;3056353200,-36000;3067243200,-32400;3087802800,-36000;3098692800,-32400;3119252400,-36000;3130142400,-32400;3150702000,-36000;3161592000,-32400;3182151600,-36000;3193041600,-32400;3213601200,-36000;3225096000,-32400;3245655600,-36000;3256545600,-32400;3277105200,-36000;3287995200,-32400;3308554800,-36000;3319444800,-32400;3340004400,-36000;3350894400,-32400;3371454000,-36000;3382948800,-32400;3403508400,-36000;3414398400,-32400;3434958000,-36000;3445848000,-32400;3466407600,-36000;3477297600,-32400;3497857200,-36000;3508747200,-32400;3529306800,-36000;3540196800,-32400;3560756400,-36000;3572251200,-32400;3592810800,-36000;3603700800,-32400;3624260400,-36000;3635150400,-32400;3655710000,-36000;3666600000,-32400;3687159600,-36000;3698049600,-32400;3718609200,-36000;3730104000,-32400;3750663600,-36000;3761553600,-32400;3782113200,-36000;3793003200,-32400;3813562800,-36000;3824452800,-32400;3845012400,-36000;3855902400,-32400;3876462000,-36000;3887352000,-32400;3907911600,-36000;3919406400,-32400;3939966000,-36000;3950856000,-32400;3971415600,-36000;3982305600,-32400;4002865200,-36000;4013755200,-32400;4034314800,-36000;4045204800,-32400;4065764400,-36000;4076654400,-32400;4097214000,-36000;4108708800,-32400;4129268400,-36000;4140158400,-32400;4160718000,-36000;4171608000,-32400;4192167600,-36000;4203057600,-32400;4223617200,-36000;4234507200,-32400;4255066800,-36000;4265956800,-32400;4286516400,-36000;4298011200,-32400;4318570800,-36000;4329460800,-32400;4350020400,-36000;4360910400,-32400;4381470000,-36000;4392360000,-32400;4412919600,-36000;4423809600,-32400;4444369200,-36000;4455259200,-32400;4475818800,-36000;4487313600,-32400;4507873200,-36000;4518763200,-32400;4539322800,-36000;4550212800,-32400;4570772400,-36000;4581662400,-32400;4602222000,-36000;4613112000,-32400;4633671600,-36000;4645166400,-32400;4665726000,-36000;4676616000,-32400;4697175600,-36000;4708065600,-32400;4728625200,-36000;4739515200,-32400;4760074800,-36000;4770964800,-32400;4791524400,-36000;4802414400,-32400;4822974000,-36000;4834468800,-32400;4855028400,-36000;4865918400,-32400;4886478000,-36000;4897368000,-32400;4917927600,-36000;4928817600,-32400;4949377200,-36000;4960267200,-32400;4980826800,-36000;4992321600,-32400;5012881200,-36000;5023771200,-32400;5044330800,-36000;5055220800,-32400;5075780400,-36000;5086670400,-32400;5107230000,-36000;5118120000,-32400;5138679600,-36000;5149569600,-32400;5170129200,-36000;5181624000,-32400;5202183600,-36000;5213073600,-32400;5233633200,-36000;5244523200,-32400;5265082800,-36000;5275972800,-32400;5296532400,-36000;5307422400,-32400;5327982000,-36000;5338872000,-32400;5359431600,-36000;5370926400,-32400;5391486000,-36000;5402376000,-32400;5422935600,-36000;5433825600,-32400;5454385200,-36000;5465275200,-32400;5485834800,-36000;5496724800,-32400;5517284400,-36000;5528779200,-32400;5549338800,-36000;5560228800,-32400;5580788400,-36000;5591678400,-32400;5612238000,-36000;5623128000,-32400;5643687600,-36000;5654577600,-32400;5675137200,-36000;5686027200,-32400;5706586800,-36000;5718081600,-32400;5738641200,-36000;5749531200,-32400;5770090800,-36000;5780980800,-32400;5801540400,-36000;5812430400,-32400;5832990000,-36000;5843880000,-32400;5864439600,-36000;5875934400,-32400;5896494000,-36000;5907384000,-32400;5927943600,-36000;5938833600,-32400;5959393200,-36000;5970283200,-32400;5990842800,-36000;6001732800,-32400;6022292400,-36000;6033182400,-32400;6053742000,-36000;6065236800,-32400;6085796400,-36000;6096686400,-32400;6117246000,-36000;6128136000,-32400;6148695600,-36000;6159585600,-32400;6180145200,-36000;6191035200,-32400;6211594800,-36000;6222484800,-32400;6243044400,-36000;6254539200,-32400;6275098800,-36000;6285988800,-32400;6306548400,-36000;6317438400,-32400;6337998000,-36000;6348888000,-32400;6369447600,-36000;6380337600,-32400;6400897200,-36000;6412392000,-32400;6432951600,-36000;6443841600,-32400;6464401200,-36000;6475291200,-32400;6495850800,-36000;6506740800,-32400;6527300400,-36000;6538190400,-32400;6558750000,-36000;6569640000,-32400;6590199600,-36000;6601694400,-32400;6622254000,-36000;6633144000,-32400;6653703600,-36000;6664593600,-32400;6685153200,-36000;6696043200,-32400;6716602800,-36000;6727492800,-32400;6748052400,-36000;6759547200,-32400;6780106800,-36000;6790996800,-32400;6811556400,-36000;6822446400,-32400;6843006000,-36000;6853896000,-32400;6874455600,-36000;6885345600,-32400;6905905200,-36000;6916795200,-32400;6937354800,-36000;6948849600,-32400;6969409200,-36000;6980299200,-32400;7000858800,-36000;7011748800,-32400;7032308400,-36000;7043198400,-32400;7063758000,-36000;7074648000,-32400;7095207600,-36000;7106097600,-32400;7126657200,-36000;7138152000,-32400;7158711600,-36000;7169601600,-32400;7190161200,-36000;7201051200,-32400;7221610800,-36000;7232500800,-32400;7253060400,-36000
America/Anchorage	77ca0c22962f06998bce5e48d81cb865a14466c83ff5dc607eaa483344058bf6	50424	-36000	50424	-3225223727,-35976;-2188951224,-36000;-880200000,-32400;-769395600,-32400;-765378000,-36000;-86882400,-36000;-21470400,-32400;-5749200,-36000;9979200,-32400;25700400,-36000;41428800,-32400;57754800,-36000;73483200,-32400;89204400,-36000;104932800,-32400;120654000,-36000;126705600,-32400;152103600,-36000;162388800,-32400;183553200,-36000;199281600,-32400;215607600,-36000;230731200,-32400;247057200,-36000;262785600,-32400;278506800,-36000;294235200,-32400;309956400,-36000;325684800,-32400;341406000,-36000;357134400,-32400;372855600,-36000;388584000,-32400;404910000,-36000;420033600,-32400;436359600,-32400;439030800,-32400;452084400,-28800;467805600,-32400;483534000,-28800;499255200,-32400;514983600,-28800;530704800,-32400;544618800,-28800;562154400,-32400;576068400,-28800;594208800,-32400;607518000,-28800;625658400,-32400;638967600,-28800;657108000,-32400;671022000,-28800;688557600,-32400;702471600,-28800;720007200,-32400;733921200,-28800;752061600,-32400;765370800,-28800;783511200,-32400;796820400,-28800;814960800,-32400;828874800,-28800;846410400,-32400;860324400,-28800;877860000,-32400;891774000,-28800;909309600,-32400;923223600,-28800;941364000,-32400;954673200,-28800;972813600,-32400;986122800,-28800;1004263200,-32400;1018177200,-28800;1035712800,-32400;1049626800,-28800;1067162400,-32400;1081076400,-28800;1099216800,-32400;1112526000,-28800;1130666400,-32400;1143975600,-28800;1162116000,-32400;1173610800,-28800;1194170400,-32400;1205060400,-28800;1225620000,-32400;1236510000,-28800;1257069600,-32400;1268564400,-28800;1289124000,-32400;1300014000,-28800;1320573600,-32400;1331463600,-28800;1352023200,-32400;1362913200,-28800;1383472800,-32400;1394362800,-28800;1414922400,-32400;1425812400,-28800;1446372000,-32400;1457866800,-28800;1478426400,-32400;1489316400,-28800;1509876000,-32400;1520766000,-28800;1541325600,-32400;1552215600,-28800;1572775200,-32400;1583665200,-28800;1604224800,-32400;1615719600,-28800;1636279200,-32400;1647169200,-28800;1667728800,-32400;1678618800,-28800;1699178400,-32400;1710068400,-28800;1730628000,-32400;1741518000,-28800;1762077600,-32400;1772967600,-28800;1793527200,-32400;1805022000,-28800;1825581600,-32400;1836471600,-28800;1857031200,-32400;1867921200,-28800;1888480800,-32400;1899370800,-28800;1919930400,-32400;1930820400,-28800;1951380000,-32400;1962874800,-28800;1983434400,-32400;1994324400,-28800;2014884000,-32400;2025774000,-28800;2046333600,-32400;2057223600,-28800;2077783200,-32400;2088673200,-28800;2109232800,-32400;2120122800,-28800;2140682400,-32400;2152177200,-28800;2172736800,-32400;2183626800,-28800;2204186400,-32400;2215076400,-28800;2235636000,-32400;2246526000,-28800;2267085600,-32400;2277975600,-28800;2298535200,-32400;2309425200,-28800;2329984800,-32400;2341479600,-28800;2362039200,-32400;2372929200,-28800;2393488800,-32400;2404378800,-28800;2424938400,-32400;2435828400,-28800;2456388000,-32400;2467278000,-28800;2487837600,-32400;2499332400,-28800;2519892000,-32400;2530782000,-28800;2551341600,-32400;2562231600,-28800;2582791200,-32400;2593681200,-28800;2614240800,-32400;2625130800,-28800;2645690400,-32400;2656580400,-28800;2677140000,-32400;2688634800,-28800;2709194400,-32400;2720084400,-28800;2740644000,-32400;2751534000,-28800;2772093600,-32400;2782983600,-28800;2803543200,-32400;2814433200,-28800;2834992800,-32400;2846487600,-28800;2867047200,-32400;2877937200,-28800;2898496800,-32400;2909386800,-28800;2929946400,-32400;2940836400,-28800;2961396000,-32400;2972286000,-28800;2992845600,-32400;3003735600,-28800;3024295200,-32400;3035790000,-28800;3056349600,-32400;3067239600,-28800;3087799200,-32400;3098689200,-28800;3119248800,-32400;3130138800,-28800;3150698400,-32400;3161588400,-28800;3182148000,-32400;3193038000,-28800;3213597600,-32400;3225092400,-28800;3245652000,-32400;3256542000,-28800;3277101600,-32400;3287991600,-28800;3308551200,-32400;3319441200,-28800;3340000800,-32400;3350890800,-28800;3371450400,-32400;3382945200,-28800;3403504800,-32400;3414394800,-28800;3434954400,-32400;3445844400,-28800;3466404000,-32400;3477294000,-28800;3497853600,-32400;3508743600,-28800;3529303200,-32400;3540193200,-28800;3560752800,-32400;3572247600,-28800;3592807200,-32400;3603697200,-28800;3624256800,-32400;3635146800,-28800;3655706400,-32400;3666596400,-28800;3687156000,-32400;3698046000,-28800;3718605600,-32400;3730100400,-28800;3750660000,-32400;3761550000,-28800;3782109600,-32400;3792999600,-28800;3813559200,-32400;3824449200,-28800;3845008800,-32400;3855898800,-28800;3876458400,-32400;3887348400,-28800;3907908000,-32400;3919402800,-28800;3939962400,-32400;3950852400,-28800;3971412000,-32400;3982302000,-28800;4002861600,-32400;4013751600,-28800;4034311200,-32400;4045201200,-28800;4065760800,-32400;4076650800,-28800;4097210400,-32400;4108705200,-28800;4129264800,-32400;4140154800,-28800;4160714400,-32400;4171604400,-28800;4192164000,-32400;4203054000,-28800;4223613600,-32400;4234503600,-28800;4255063200,-32400;4265953200,-28800;4286512800,-32400;4298007600,-28800;4318567200,-32400;4329457200,-28800;4350016800,-32400;4360906800,-28800;4381466400,-32400;4392356400,-28800;4412916000,-32400;4423806000,-28800;4444365600,-32400;4455255600,-28800;4475815200,-32400;4487310000,-28800;4507869600,-32400;4518759600,-28800;4539319200,-32400;4550209200,-28800;4570768800,-32400;4581658800,-28800;4602218400,-32400;4613108400,-28800;4633668000,-32400;4645162800,-28800;4665722400,-32400;4676612400,-28800;4697172000,-32400;4708062000,-28800;4728621600,-32400;4739511600,-28800;4760071200,-32400;4770961200,-28800;4791520800,-32400;4802410800,-28800;4822970400,-32400;4834465200,-28800;4855024800,-32400;4865914800,-28800;4886474400,-32400;4897364400,-28800;4917924000,-32400;4928814000,-28800;4949373600,-32400;4960263600,-28800;4980823200,-32400;4992318000,-28800;5012877600,-32400;5023767600,-28800;5044327200,-32400;5055217200,-28800;5075776800,-32400;5086666800,-28800;5107226400,-32400;5118116400,-28800;5138676000,-32400;5149566000,-28800;5170125600,-32400;5181620400,-28800;5202180000,-32400;5213070000,-28800;5233629600,-32400;5244519600,-28800;5265079200,-32400;5275969200,-28800;5296528800,-32400;5307418800,-28800;5327978400,-32400;5338868400,-28800;5359428000,-32400;5370922800,-28800;5391482400,-32400;5402372400,-28800;5422932000,-32400;5433822000,-28800;5454381600,-32400;5465271600,-28800;5485831200,-32400;5496721200,-28800;5517280800,-32400;5528775600,-28800;5549335200,-32400;5560225200,-28800;5580784800,-32400;5591674800,-28800;5612234400,-32400;5623124400,-28800;5643684000,-32400;5654574000,-28800;5675133600,-32400;5686023600,-28800;5706583200,-32400;5718078000,-28800;5738637600,-32400;5749527600,-28800;5770087200,-32400;5780977200,-28800;5801536800,-32400;5812426800,-28800;5832986400,-32400;5843876400,-28800;5864436000,-32400;5875930800,-28800;5896490400,-32400;5907380400,-28800;5927940000,-32400;5938830000,-28800;5959389600,-32400;5970279600,-28800;5990839200,-32400;6001729200,-28800;6022288800,-32400;6033178800,-28800;6053738400,-32400;6065233200,-28800;6085792800,-32400;6096682800,-28800;6117242400,-32400;6128132400,-28800;6148692000,-32400;6159582000,-28800;6180141600,-32400;6191031600,-28800;6211591200,-32400;6222481200,-28800;6243040800,-32400;6254535600,-28800;6275095200,-32400;6285985200,-28800;6306544800,-32400;6317434800,-28800;6337994400,-32400;6348884400,-28800;6369444000,-32400;6380334000,-28800;6400893600,-32400;6412388400,-28800;6432948000,-32400;6443838000,-28800;6464397600,-32400;6475287600,-28800;6495847200,-32400;6506737200,-28800;6527296800,-32400;6538186800,-28800;6558746400,-32400;6569636400,-28800;6590196000,-32400;6601690800,-28800;6622250400,-32400;6633140400,-28800;6653700000,-32400;6664590000,-28800;6685149600,-32400;6696039600,-28800;6716599200,-32400;6727489200,-28800;6748048800,-32400;6759543600,-28800;6780103200,-32400;6790993200,-28800;6811552800,-32400;6822442800,-28800;6843002400,-32400;6853892400,-28800;6874452000,-32400;6885342000,-28800;6905901600,-32400;6916791600,-28800;6937351200,-32400;6948846000,-28800;6969405600,-32400;6980295600,-28800;7000855200,-32400;7011745200,-28800;7032304800,-32400;7043194800,-28800;7063754400,-32400;7074644400,-28800;7095204000,-32400;7106094000,-28800;7126653600,-32400;7138148400,-28800;7158708000,-32400;7169598000,-28800;7190157600,-32400;7201047600,-28800;7221607200,-32400;7232497200,-28800;7253056800,-32400
America/Puerto_Rico	abbe8628dd5487c889db816ce3a5077bbb47f6bafafeb9411d92d6ef2f70ce8d	-15865	-15865	-10800	-2233035335,-14400;-873057600,-10800;-769395600,-10800;-765399600,-14400
America/Araguaina	4dac185f8955031ab40715068530f1e02f2fb414672ee5a2f2a2d5fe85c3894a	-11568	-11568	-7200	-1767214032,-10800;-1206957600,-7200;-1191362400,-10800;-1175374800,-7200;-1159826400,-10800;-633819600,-7200;-622069200,-10800;-602283600,-7200;-591832800,-10800;-570747600,-7200;-560210400,-10800;-539125200,-7200;-531352800,-10800;-191365200,-7200;-184197600,-10800;-155163600,-7200;-150069600,-10800;-128898000,-7200;-121125600,-10800;-99954000,-7200;-89589600,-10800;-68418000,-7200;-57967200,-10800;499748400,-7200;511236000,-10800;530593200,-7200;540266400,-10800;562129200,-7200;571197600,-10800;592974000,-7200;602042400,-10800;624423600,-7200;634701600,-10800;813726000,-7200;824004000,-10800;844570800,-7200;856058400,-10800;876106800,-7200;888717600,-10800;908074800,-7200;919562400,-10800;938919600,-7200;951616800,-10800;970974000,-7200;982461600,-10800;1003028400,-7200;1013911200,-10800;1036292400,-7200;1045360800,-10800;1350788400,-7200;1361066400,-10800
America/Argentina/Buenos_Aires	20454ea527c8ea888926614d21bf556f46ce38c220c4ee5b821170eef9071469	-14028	-15408	-7200	-2372097972,-15408;-1567453392,-14400;-1233432000,-10800;-1222981200,-14400;-1205956800,-10800;-1194037200,-14400;-1172865600,-10800;-1162501200,-14400;-1141329600,-10800;-1130965200,-14400;-1109793600,-10800;-1099429200,-14400;-1078257600,-10800;-1067806800,-14400;-1046635200,-10800;-1036270800,-14400;-1015099200,-10800;-1004734800,-14400;-983563200,-10800;-973198800,-14400;-952027200,-10800;-941576400,-14400;-931032000,-10800;-900882000,-14400;-890337600,-10800;-833749200,-14400;-827265600,-10800;-752274000,-14400;-733780800,-10800;-197326800,-14400;-190843200,-10800;-184194000,-14400;-164491200,-10800;-152658000,-14400;-132955200,-10800;-121122000,-14400;-101419200,-10800;-86821200,-14400;-71092800,-10800;-54766800,-14400;-39038400,-10800;-23317200,-14400;-7588800,-10800;128142000,-7200;136605600,-10800;596948400,-7200;605066400,-10800;624423600,-7200;636516000,-10800;656478000,-7200;667965600,-10800;687927600,-7200;699415200,-10800;719377200,-7200;731469600,-10800;938919600,-10800;952052400,-10800;1198983600,-7200;1205632800,-10800;1224385200,-7200;1237082400,-10800
